SampleID,Order,Family,Genus,Species,Sample_type,Lat_Long_OG,DOI,Location,Source,Latitude,Longitude
SRR12961937,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961938,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961940,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961941,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961942,Passeriformes,#N/A,Meliphaanaloga,,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961943,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961944,Passeriformes,#N/A,Meliphaaruensis,,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961945,Passeriformes,Rhipiduridae,Rhipidura,threnothorax,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961946,Passeriformes,Melanocharitidae,Toxorhamphus,novaeguineae,Cloacal swabs,5.74250000 S 145.33361111 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7425,145.33361111
SRR12961947,Passeriformes,Rhagologidae,Rhagologus,leucostigma,Cloacal swabs,5.75944444 S 145.18027778 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.75944444,145.18027778
SRR12961949,Passeriformes,Acanthizidae,Crateroscelis,nigrorufa,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961950,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961951,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961953,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961954,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961955,Passeriformes,Rhipiduridae,Rhipidura,atra,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961957,Passeriformes,Rhipiduridae,Rhipidura,atra,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961958,Passeriformes,Rhipiduridae,Rhipidura,atra,Cloacal swabs,5.75944444 S 145.18027778 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.75944444,145.18027778
SRR12961959,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961960,Passeriformes,Melanocharitidae,Melanocharis,striativentris,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961961,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961962,Passeriformes,Meliphagidae,Timeliopsis,fulvigula,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961963,Passeriformes,Acanthizidae,Crateroscelis,nigrorufa,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961964,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961965,Passeriformes,Estrildidae,Erythrura,trichroa,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961966,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961967,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961968,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961969,Passeriformes,Estrildidae,Erythrura,trichroa,Cloacal swabs,5.75944444 S 145.18027778 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.75944444,145.18027778
SRR12961970,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961971,Passeriformes,Melanocharitidae,Toxorhamphus,poliopterus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961972,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961973,Passeriformes,Acanthizidae,Sericornis,nouhuysi,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961974,Passeriformes,Petroicidae,Peneothello,cyanus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961975,Passeriformes,Melanocharitidae,Melanocharis,striativentris,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961976,Passeriformes,Melanocharitidae,Melanocharis,striativentris,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961977,Passeriformes,Melanocharitidae,Melanocharis,versteri,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
SRR12961978,Passeriformes,Meliphagidae,Melilestes,megarhynchus,Cloacal swabs,5.76250000 S 145.19833333 E,10.1098/rspb.2021.0446,Papua New Guinea,Bodawatta,-5.7625,145.19833333
