,library,run,r1_file,reads_raw_r1,reads_primers,reads_filtered,reads_merged,reads_tabled,SampleID,Order,Family,Genus,Species,Sample_type,Location.or.lat,DOI,Location,Source,Richness,Shannon,ISimpson,Depth
SRR3609140,SRR3609140,SRP073625,SRR3609140_1.fastq.gz,178357,178357,152877,4998,4998,SRR3609140,,,,,Feces,"40.798077 N 96.674433 W,",10.1128/AEM.00896-18,USA,CoMiDa,7,1.442322481,1.167211365,4998
SRR3609149,SRR3609149,SRP073625,SRR3609149_1.fastq.gz,132585,132585,114506,4990,4990,SRR3609149,Anseriformes,Anatidae,,,Feces,"40.798077 N 96.674433 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,4.76825368,3.421710211,4990
SRR3609156,SRR3609156,SRP073625,SRR3609156_1.fastq.gz,148112,148112,126447,4889,4889,SRR3609156,Anseriformes,Anatidae,,,Feces,"40.793414 N 96.669452 W,",10.1128/AEM.00896-18,USA,CoMiDa,12,2.999923449,2.318176903,4889
SRR3609162,SRR3609162,SRP073625,SRR3609162_1.fastq.gz,192713,192713,169999,4943,4943,SRR3609162,Passeriformes,Hirundinidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,37,18.60029717,12.5886506,4943
SRR3609163,SRR3609163,SRP073625,SRR3609163_1.fastq.gz,189604,189604,160589,4869,4869,SRR3609163,Passeriformes,Hirundinidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,66,25.01140106,14.08858688,4869
SRR3609170,SRR3609170,SRP073625,SRR3609170_1.fastq.gz,180780,180780,151898,4980,4980,SRR3609170,Anseriformes,Anatidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,32,11.23622547,6.304220506,4980
SRR3609175,SRR3609175,SRP073625,SRR3609175_1.fastq.gz,176915,176915,140947,4904,4904,SRR3609175,Anseriformes,Anatidae,,,Feces,"40.809232 N 96.686964 W,",10.1128/AEM.00896-18,USA,CoMiDa,72,34.3407299,20.16952684,4904
SRR3609178,SRR3609178,SRP073625,SRR3609178_1.fastq.gz,166018,166018,138000,4925,4925,SRR3609178,Anseriformes,Anatidae,,,Feces,"40.80712 N 96.686536 W,",10.1128/AEM.00896-18,USA,CoMiDa,52,14.54463071,7.522759211,4925
SRR3609190,SRR3609190,SRP073625,SRR3609190_1.fastq.gz,160648,160648,135055,5003,5003,SRR3609190,Anseriformes,Anatidae,,,Feces,"40.80712 N 96.686536 W,",10.1128/AEM.00896-18,USA,CoMiDa,20,5.29974844,2.715610676,5003
SRR3609191,SRR3609191,SRP073625,SRR3609191_1.fastq.gz,145522,145522,122899,4982,4982,SRR3609191,Columbiformes,Columbidae,,,Feces,"40.805642 N 96.685667 W,",10.1128/AEM.00896-18,USA,CoMiDa,19,5.946528182,3.737888015,4982
SRR3609198,SRR3609198,SRP073625,SRR3609198_1.fastq.gz,168458,168458,146691,4963,4963,SRR3609198,Passeriformes,Hirundinidae,,,Feces,"40.801282 N 96.679145 W,",10.1128/AEM.00896-18,USA,CoMiDa,36,10.37928383,5.023608219,4963
SRR3655581,SRR3655581,SRP073625,SRR3655581_1.fastq.gz,168866,168866,127955,4930,4930,SRR3655581,Anseriformes,Anatidae,,,Feces,"40.780482 N 96.63328 W,",10.1128/AEM.00896-18,USA,CoMiDa,45,12.17570104,5.607163357,4930
SRR3655583,SRR3655583,SRP073625,SRR3655583_1.fastq.gz,261650,261650,204230,4910,4910,SRR3655583,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,85,41.17693688,22.37863438,4910
SRR3655605,SRR3655605,SRP073625,SRR3655605_1.fastq.gz,224962,224962,180164,4931,4931,SRR3655605,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,77,32.23372673,14.5530706,4931
SRR3655606,SRR3655606,SRP073625,SRR3655606_1.fastq.gz,227294,227294,183860,4948,4948,SRR3655606,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,67,24.8087011,12.42722602,4948
SRR3655607,SRR3655607,SRP073625,SRR3655607_1.fastq.gz,162222,162222,132174,4992,4992,SRR3655607,Anseriformes,Anatidae,,,Feces,"40.868076 N 96.697769 W,",10.1128/AEM.00896-18,USA,CoMiDa,26,14.4308452,10.53292757,4992
SRR3655608,SRR3655608,SRP073625,SRR3655608_1.fastq.gz,154523,154523,128714,4928,4928,SRR3655608,Anseriformes,Anatidae,,,Feces,"40.868076 N 96.697769 W,",10.1128/AEM.00896-18,USA,CoMiDa,20,8.27006545,5.80096522,4928
SRR3655609,SRR3655609,SRP073625,SRR3655609_1.fastq.gz,123759,123759,102506,4958,4958,SRR3655609,Anseriformes,Anatidae,,,Feces,"40.806119 N 96.686064 W,",10.1128/AEM.00896-18,USA,CoMiDa,29,8.603931527,4.466536811,4958
SRR3655610,SRR3655610,SRP073625,SRR3655610_1.fastq.gz,174313,174313,140640,4930,4930,SRR3655610,Anseriformes,Anatidae,,,Feces,"40.806119 N 96.686064 W,",10.1128/AEM.00896-18,USA,CoMiDa,48,11.82473219,4.890022824,4930
SRR3655611,SRR3655611,SRP073625,SRR3655611_1.fastq.gz,186973,186973,146882,4926,4926,SRR3655611,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,67,16.10694976,7.229243407,4926
SRR3655612,SRR3655612,SRP073625,SRR3655612_1.fastq.gz,138993,138993,112700,4990,4990,SRR3655612,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,15,2.805241735,2.255204429,4990
SRR3655613,SRR3655613,SRP073625,SRR3655613_1.fastq.gz,146595,146595,121560,4984,4984,SRR3655613,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,9,2.323151769,1.82421049,4984
SRR3655614,SRR3655614,SRP073625,SRR3655614_1.fastq.gz,198245,198245,161762,4967,4967,SRR3655614,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,25,2.154133645,1.361450844,4967
SRR3655616,SRR3655616,SRP073625,SRR3655616_1.fastq.gz,207456,207456,161609,4971,4971,SRR3655616,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,46,12.71535559,6.890803308,4971
SRR3655618,SRR3655618,SRP073625,SRR3655618_1.fastq.gz,183285,183285,151192,4981,4981,SRR3655618,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,5.127024943,3.806515383,4981
SRR3655619,SRR3655619,SRP073625,SRR3655619_1.fastq.gz,173051,173051,135177,4980,4980,SRR3655619,Anseriformes,Anatidae,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,5.609959103,4.023449845,4980
SRR3655620,SRR3655620,SRP073625,SRR3655620_1.fastq.gz,206554,206554,175475,4905,4905,SRR3655620,,,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,75,33.59448006,18.85354294,4905
SRR3655621,SRR3655621,SRP073625,SRR3655621_1.fastq.gz,206498,206498,164606,4970,4970,SRR3655621,Anseriformes,Anatidae,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,64,30.51930829,17.48597633,4970
SRR3655629,SRR3655629,SRP073625,SRR3655629_1.fastq.gz,250128,250128,205857,4985,4985,SRR3655629,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,47,25.74980703,16.51991113,4985
