"NameXSpecies"	"mean"	"sd"	"ScientificName"	"Study"	"Site"
"Aplonis cantoroides 10.1098/rspb.2021.0446 cloaca"	"Aplonis cantoroides 10.1098/rspb.2021.0446 cloaca"	6.68639300465349	2.75008115095359	"Aplonis cantoroides"	"10.1098/rspb.2021.0446"	"cloaca"
"Aplonis metallica 10.1098/rspb.2021.0446 Cloacal swabs"	"Aplonis metallica 10.1098/rspb.2021.0446 Cloacal swabs"	7.25078495546159	4.82460978568346	"Aplonis metallica"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Bleda notatus 10.1111/mec.15354 intestine"	"Bleda notatus 10.1111/mec.15354 intestine"	3.31934540275844	1.14863440844178	"Bleda notatus"	"10.1111/mec.15354"	"intestine"
"Camarhynchus Parvulus 10.1186/s40168-018-0555-8 Feces"	"Camarhynchus Parvulus 10.1186/s40168-018-0555-8 Feces"	13.4276596333258	6.09234501228822	"Camarhynchus Parvulus"	"10.1186/s40168-018-0555-8"	"Feces"
"Campethera nivosa 10.1111/mec.15354 intestine"	"Campethera nivosa 10.1111/mec.15354 intestine"	2.98070576972186	1.42332748770666	"Campethera nivosa"	"10.1111/mec.15354"	"intestine"
"Certhidea Olivacea 10.1186/s40168-018-0555-8 Feces"	"Certhidea Olivacea 10.1186/s40168-018-0555-8 Feces"	6.489611628682	2.16363667553307	"Certhidea Olivacea"	"10.1186/s40168-018-0555-8"	"Feces"
"Chamaetylas (Alethe) poliocephala 10.1111/mec.15354 intestine"	"Chamaetylas (Alethe) poliocephala 10.1111/mec.15354 intestine"	1.95755523737822	0.216192844303887	"Chamaetylas (Alethe) poliocephala"	"10.1111/mec.15354"	"intestine"
"Chiroxiphia lanceolata Missing: Not provided Gizzard"	"Chiroxiphia lanceolata Missing: Not provided Gizzard"	35.7276266444609	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Gizzard"
"Chiroxiphia lanceolata Missing: Not provided Lower intestine"	"Chiroxiphia lanceolata Missing: Not provided Lower intestine"	6.22000643537487	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Lower intestine"
"Chiroxiphia lanceolata Missing: Not provided Upper intestine"	"Chiroxiphia lanceolata Missing: Not provided Upper intestine"	10.1842872573158	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Upper intestine"
"Colluricincla megarhyncha 10.1098/rspb.2021.0446 Cloacal swabs"	"Colluricincla megarhyncha 10.1098/rspb.2021.0446 Cloacal swabs"	61.3252063339772	0	"Colluricincla megarhyncha"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Columbina passerina Missing: Not provided Crop"	"Columbina passerina Missing: Not provided Crop"	19.9058388420454	4.15965282175874	"Columbina passerina"	"Missing: Not provided"	"Crop"
"Columbina passerina Missing: Not provided Gizzard"	"Columbina passerina Missing: Not provided Gizzard"	43.6062796056979	16.3557508250731	"Columbina passerina"	"Missing: Not provided"	"Gizzard"
"Columbina passerina Missing: Not provided Lower intestine"	"Columbina passerina Missing: Not provided Lower intestine"	10.130934102977	6.86735403996495	"Columbina passerina"	"Missing: Not provided"	"Lower intestine"
"Columbina passerina Missing: Not provided Upper intestine"	"Columbina passerina Missing: Not provided Upper intestine"	22.362279590557	12.5069329008221	"Columbina passerina"	"Missing: Not provided"	"Upper intestine"
"Columbina talpacoti Missing: Not provided Crop"	"Columbina talpacoti Missing: Not provided Crop"	12.6251969824324	2.84687133551563	"Columbina talpacoti"	"Missing: Not provided"	"Crop"
"Columbina talpacoti Missing: Not provided Gizzard"	"Columbina talpacoti Missing: Not provided Gizzard"	38.8065329038298	7.84461475160029	"Columbina talpacoti"	"Missing: Not provided"	"Gizzard"
"Columbina talpacoti Missing: Not provided Lower intestine"	"Columbina talpacoti Missing: Not provided Lower intestine"	8.4177038213848	1.51261372673314	"Columbina talpacoti"	"Missing: Not provided"	"Lower intestine"
"Columbina talpacoti Missing: Not provided Upper intestine"	"Columbina talpacoti Missing: Not provided Upper intestine"	11.7412728283153	2.56330023092198	"Columbina talpacoti"	"Missing: Not provided"	"Upper intestine"
"Cossyphicula roberti 10.1111/mec.15354 intestine"	"Cossyphicula roberti 10.1111/mec.15354 intestine"	8.68140414625038	0	"Cossyphicula roberti"	"10.1111/mec.15354"	"intestine"
"Crateroscelis nigrorufa 10.1098/rspb.2021.0446 Cloacal swabs"	"Crateroscelis nigrorufa 10.1098/rspb.2021.0446 Cloacal swabs"	27.9908369630954	15.341945905223	"Crateroscelis nigrorufa"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
