"NameXSpecies"	"mean"	"sd"	"ScientificName"	"Study"	"Site"
"Aplonis cantoroides 10.1098/rspb.2021.0446 cloaca"	"Aplonis cantoroides 10.1098/rspb.2021.0446 cloaca"	69.434	14.2627160481119	"Aplonis cantoroides"	"10.1098/rspb.2021.0446"	"cloaca"
"Aplonis metallica 10.1098/rspb.2021.0446 Cloacal swabs"	"Aplonis metallica 10.1098/rspb.2021.0446 Cloacal swabs"	170.598	57.2848492181829	"Aplonis metallica"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Bleda notatus 10.1111/mec.15354 intestine"	"Bleda notatus 10.1111/mec.15354 intestine"	28.604	3.74716228968338	"Bleda notatus"	"10.1111/mec.15354"	"intestine"
"Camarhynchus Parvulus 10.1186/s40168-018-0555-8 Feces"	"Camarhynchus Parvulus 10.1186/s40168-018-0555-8 Feces"	109.103	36.4716406482019	"Camarhynchus Parvulus"	"10.1186/s40168-018-0555-8"	"Feces"
"Campethera nivosa 10.1111/mec.15354 intestine"	"Campethera nivosa 10.1111/mec.15354 intestine"	55.774	25.0136484065521	"Campethera nivosa"	"10.1111/mec.15354"	"intestine"
"Certhidea Olivacea 10.1186/s40168-018-0555-8 Feces"	"Certhidea Olivacea 10.1186/s40168-018-0555-8 Feces"	79.047	23.2410614632365	"Certhidea Olivacea"	"10.1186/s40168-018-0555-8"	"Feces"
"Chamaetylas (Alethe) poliocephala 10.1111/mec.15354 intestine"	"Chamaetylas (Alethe) poliocephala 10.1111/mec.15354 intestine"	17.229	3.04989522129218	"Chamaetylas (Alethe) poliocephala"	"10.1111/mec.15354"	"intestine"
"Chiroxiphia lanceolata Missing: Not provided Gizzard"	"Chiroxiphia lanceolata Missing: Not provided Gizzard"	268	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Gizzard"
"Chiroxiphia lanceolata Missing: Not provided Lower intestine"	"Chiroxiphia lanceolata Missing: Not provided Lower intestine"	164	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Lower intestine"
"Chiroxiphia lanceolata Missing: Not provided Upper intestine"	"Chiroxiphia lanceolata Missing: Not provided Upper intestine"	207	0	"Chiroxiphia lanceolata"	"Missing: Not provided"	"Upper intestine"
"Colluricincla megarhyncha 10.1098/rspb.2021.0446 Cloacal swabs"	"Colluricincla megarhyncha 10.1098/rspb.2021.0446 Cloacal swabs"	291	0	"Colluricincla megarhyncha"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Columbina passerina Missing: Not provided Crop"	"Columbina passerina Missing: Not provided Crop"	137.503	19.7198596309371	"Columbina passerina"	"Missing: Not provided"	"Crop"
"Columbina passerina Missing: Not provided Gizzard"	"Columbina passerina Missing: Not provided Gizzard"	230.886	34.3999761971191	"Columbina passerina"	"Missing: Not provided"	"Gizzard"
"Columbina passerina Missing: Not provided Lower intestine"	"Columbina passerina Missing: Not provided Lower intestine"	158.225	48.8156669968192	"Columbina passerina"	"Missing: Not provided"	"Lower intestine"
"Columbina passerina Missing: Not provided Upper intestine"	"Columbina passerina Missing: Not provided Upper intestine"	219.823	39.9065935304832	"Columbina passerina"	"Missing: Not provided"	"Upper intestine"
"Columbina talpacoti Missing: Not provided Crop"	"Columbina talpacoti Missing: Not provided Crop"	73.765	6.8444591913183	"Columbina talpacoti"	"Missing: Not provided"	"Crop"
"Columbina talpacoti Missing: Not provided Gizzard"	"Columbina talpacoti Missing: Not provided Gizzard"	248.065	19.627226064908	"Columbina talpacoti"	"Missing: Not provided"	"Gizzard"
"Columbina talpacoti Missing: Not provided Lower intestine"	"Columbina talpacoti Missing: Not provided Lower intestine"	109.537	24.0538816040202	"Columbina talpacoti"	"Missing: Not provided"	"Lower intestine"
"Columbina talpacoti Missing: Not provided Upper intestine"	"Columbina talpacoti Missing: Not provided Upper intestine"	132.706	14.4455611949913	"Columbina talpacoti"	"Missing: Not provided"	"Upper intestine"
"Cossyphicula roberti 10.1111/mec.15354 intestine"	"Cossyphicula roberti 10.1111/mec.15354 intestine"	66	0	"Cossyphicula roberti"	"10.1111/mec.15354"	"intestine"
"Crateroscelis nigrorufa 10.1098/rspb.2021.0446 Cloacal swabs"	"Crateroscelis nigrorufa 10.1098/rspb.2021.0446 Cloacal swabs"	469.532	96.6968006050213	"Crateroscelis nigrorufa"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Crateroscelis robusta 10.1098/rspb.2021.0446 Cloacal swabs"	"Crateroscelis robusta 10.1098/rspb.2021.0446 Cloacal swabs"	287.32	72.4039635236493	"Crateroscelis robusta"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Cryptospiza reichenovii 10.1111/mec.15354 intestine"	"Cryptospiza reichenovii 10.1111/mec.15354 intestine"	18	0	"Cryptospiza reichenovii"	"10.1111/mec.15354"	"intestine"
"Cyanomitra (Nectarinia) olivacea 10.1111/mec.15354 intestine"	"Cyanomitra (Nectarinia) olivacea 10.1111/mec.15354 intestine"	38.252	13.7043169951773	"Cyanomitra (Nectarinia) olivacea"	"10.1111/mec.15354"	"intestine"
"Dromaius novaehollandiae 10.1186/s13071-016-1607-1 Feces"	"Dromaius novaehollandiae 10.1186/s13071-016-1607-1 Feces"	249.158	48.6455488757751	"Dromaius novaehollandiae"	"10.1186/s13071-016-1607-1"	"Feces"
"Erythrura trichroa 10.1098/rspb.2021.0446 Cloacal swabs"	"Erythrura trichroa 10.1098/rspb.2021.0446 Cloacal swabs"	57.208	9.62628699974198	"Erythrura trichroa"	"10.1098/rspb.2021.0446"	"Cloacal swabs"
"Estrilda atricapilla 10.1111/mec.15354 intestine"	"Estrilda atricapilla 10.1111/mec.15354 intestine"	109	0	"Estrilda atricapilla"	"10.1111/mec.15354"	"intestine"
"Eurillas (Andropadus) latirostris 10.1111/mec.15354 intestine"	"Eurillas (Andropadus) latirostris 10.1111/mec.15354 intestine"	25	0	"Eurillas (Andropadus) latirostris"	"10.1111/mec.15354"	"intestine"
"Eurillas (Andropadus) virens 10.1111/mec.15354 intestine"	"Eurillas (Andropadus) virens 10.1111/mec.15354 intestine"	75	0	"Eurillas (Andropadus) virens"	"10.1111/mec.15354"	"intestine"
"Gallus Gallus 10.1186/s40168-018-0477-5 Cecum"	"Gallus Gallus 10.1186/s40168-018-0477-5 Cecum"	157.601	8.85257968996423	"Gallus Gallus"	"10.1186/s40168-018-0477-5"	"Cecum"
"Geospiza Conirostris 10.1186/s40168-018-0555-8 Feces"	"Geospiza Conirostris 10.1186/s40168-018-0555-8 Feces"	118.469	25.3272285792881	"Geospiza Conirostris"	"10.1186/s40168-018-0555-8"	"Feces"
"Geospiza Difficilis 10.1186/s40168-018-0555-8 Feces"	"Geospiza Difficilis 10.1186/s40168-018-0555-8 Feces"	100.955	22.1610037021134	"Geospiza Difficilis"	"10.1186/s40168-018-0555-8"	"Feces"
"Geospiza Fortis 10.1186/s40168-018-0555-8 Feces"	"Geospiza Fortis 10.1186/s40168-018-0555-8 Feces"	83.407	13.3161056495384	"Geospiza Fortis"	"10.1186/s40168-018-0555-8"	"Feces"
"Geospiza Fuliginosa 10.1186/s40168-018-0555-8 Feces"	"Geospiza Fuliginosa 10.1186/s40168-018-0555-8 Feces"	79.132	17.9366747280621	"Geospiza Fuliginosa"	"10.1186/s40168-018-0555-8"	"Feces"
"Geospiza Scandens 10.1186/s40168-018-0555-8 Feces"	"Geospiza Scandens 10.1186/s40168-018-0555-8 Feces"	90.891	18.8770618069249	"Geospiza Scandens"	"10.1186/s40168-018-0555-8"	"Feces"
